,Unnamed: 0,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
66,66,167566,Francolinus,pondicerianus,interpositus,birds,Grey Francolin,Rajgopal Patil,India,"Tal Chapar, Rajasthan",27.8056,74.4305,300,call,male,,field recording,//xeno-canto.org/167566,https://xeno-canto.org/167566/download,XC167566-Francolin Grey (Francolinus pondicerianus) RNP.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC167566-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC167566-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC167566-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UUXSJGNURV/ffts/XC167566-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/UUXSJGNURV/wave/XC167566-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UUXSJGNURV/wave/XC167566-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UUXSJGNURV/wave/XC167566-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,A,0:10,13:12,2012-12-26,2014-02-16,[],,yes,yes,no,,,no,,,44100
67,67,149685,Francolinus,pondicerianus,,birds,Grey Francolin,Frank Lambert,India,gir national park gujarat india,21.168,70.601,160,"call, song",,,field recording,//xeno-canto.org/149685,https://xeno-canto.org/149685/download,XC149685-Francolinus_pondicerianus-FL song Gir NP 28Jan13 LS113385.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC149685-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC149685-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC149685-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC149685-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC149685-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC149685-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC149685-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:41,06:35,2013-01-28,2013-10-03,[],,yes,yes,no,,,no,,,48000
68,68,149684,Francolinus,pondicerianus,,birds,Grey Francolin,Frank Lambert,India,gir national park gujarat india,21.168,70.601,160,"call, song",,,field recording,//xeno-canto.org/149684,https://xeno-canto.org/149684/download,XC149684-Francolinus_pondicerianus-FL calls song Gir NP 28Jan13 LS113386.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC149684-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC149684-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC149684-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC149684-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC149684-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC149684-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC149684-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:29,06:40,2013-01-28,2013-10-03,[],,yes,yes,no,,,no,,,48000
69,69,94589,Francolinus,pondicerianus,,birds,Grey Francolin,Ramit Singal,India,Hampi,15.332,76.475,450,call,,,field recording,//xeno-canto.org/94589,https://xeno-canto.org/94589/download,MVI_7362.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/FPDBIILGCX/ffts/XC94589-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FPDBIILGCX/ffts/XC94589-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FPDBIILGCX/ffts/XC94589-large.png', 'full': '//xeno-canto.org/sounds/uploaded/FPDBIILGCX/ffts/XC94589-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/FPDBIILGCX/wave/XC94589-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FPDBIILGCX/wave/XC94589-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FPDBIILGCX/wave/XC94589-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,A,0:09,11:00,2012-01-28,2012-02-11,[],,unknown,unknown,unknown,,,no,,,44100
70,70,575657,Francolinus,pondicerianus,,birds,Grey Francolin,Sagar Adhurya,India,"Bardhaman, West Bengal",23.598,87.2214,90,call,uncertain,adult,field recording,//xeno-canto.org/575657,https://xeno-canto.org/575657/download,XC575657-MVI_0783_Segment_0.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/MQIHATWRYL/ffts/XC575657-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MQIHATWRYL/ffts/XC575657-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MQIHATWRYL/ffts/XC575657-large.png', 'full': '//xeno-canto.org/sounds/uploaded/MQIHATWRYL/ffts/XC575657-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/MQIHATWRYL/wave/XC575657-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MQIHATWRYL/wave/XC575657-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MQIHATWRYL/wave/XC575657-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:03,09:53,2014-06-17,2020-07-14,[],,no,no,no,,,no,,,44100
71,71,474849,Francolinus,pondicerianus,,birds,Grey Francolin,Nantha N,India,"Coimbatore, Coimbatore, Tamil Nadu",11.0395,76.8674,550,"call, song",,,field recording,//xeno-canto.org/474849,https://xeno-canto.org/474849/download,XC474849-Birdcall1.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/GDWHRRIUYZ/ffts/XC474849-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GDWHRRIUYZ/ffts/XC474849-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GDWHRRIUYZ/ffts/XC474849-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GDWHRRIUYZ/ffts/XC474849-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GDWHRRIUYZ/wave/XC474849-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GDWHRRIUYZ/wave/XC474849-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GDWHRRIUYZ/wave/XC474849-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:05,07:30,2019-05-13,2019-05-16,[],"I was not able to spot this bird but I am hearing this often in the morning and looking familiar. Common sounds that I could hear and spot around the same place in the same time (around morning 7 to 8 am) are Peacock, Cuckoo, Shikra, Common Crow, Red vented Bulbull. 
I am unable to recognize this bird song.",no,no,no,,,no,,,44100
72,72,469359,Francolinus,pondicerianus,,birds,Grey Francolin,Vivek Puliyeri,India,"IIT Madras, Chennai, Tamil Nadu",12.9912,80.2363,10,call,,,field recording,//xeno-canto.org/469359,https://xeno-canto.org/469359/download,XC469359-Grey Francolin_IITM_25Feb2019_6.57am.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC469359-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC469359-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC469359-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC469359-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC469359-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC469359-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC469359-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,06:57,2019-02-25,2019-04-29,[],,yes,yes,no,,,no,,,44100
73,73,459288,Francolinus,pondicerianus,,birds,Grey Francolin,Vivek Puliyeri,India,"IIT Madras, Chennai, Tamil Nadu",12.9912,80.2363,10,call,,,field recording,//xeno-canto.org/459288,https://xeno-canto.org/459288/download,XC459288-Grey Francolin_IITM_27Feb2019_6.18am.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459288-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459288-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459288-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459288-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459288-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459288-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459288-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,06:18,2019-02-27,2019-02-27,[],,no,no,no,,,no,,,48000
74,74,459287,Francolinus,pondicerianus,,birds,Grey Francolin,Vivek Puliyeri,India,"IIT Madras, Chennai, Tamil Nadu",12.9912,80.2363,10,call,,,field recording,//xeno-canto.org/459287,https://xeno-canto.org/459287/download,XC459287-Grey Francolin_IITM_27Feb2019_6.17am.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459287-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459287-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459287-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459287-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459287-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459287-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459287-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,06:17,2019-02-27,2019-02-27,[],,no,no,no,,,no,,,48000
75,75,451799,Francolinus,pondicerianus,interpositus,birds,Grey Francolin,Hemanya Radadia,India,"Rajkot, Rajkot, Gujarat",22.3052,70.7329,120,call,,,field recording,//xeno-canto.org/451799,https://xeno-canto.org/451799/download,XC451799-grey francolin lake.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LCOLJYIDSS/ffts/XC451799-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LCOLJYIDSS/ffts/XC451799-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LCOLJYIDSS/ffts/XC451799-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LCOLJYIDSS/ffts/XC451799-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LCOLJYIDSS/wave/XC451799-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LCOLJYIDSS/wave/XC451799-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LCOLJYIDSS/wave/XC451799-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:03,18:30,2018-11-25,2019-01-16,[],,no,no,no,,,no,,,48000
76,76,406118,Francolinus,pondicerianus,,birds,Grey Francolin,Dilip KG,India,"Coimbatore, Coimbatore, Tamil Nadu",11.0477,76.8642,550,call,,,field recording,//xeno-canto.org/406118,https://xeno-canto.org/406118/download,XC406118-gray francolin.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/FXHETGXRIK/ffts/XC406118-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FXHETGXRIK/ffts/XC406118-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FXHETGXRIK/ffts/XC406118-large.png', 'full': '//xeno-canto.org/sounds/uploaded/FXHETGXRIK/ffts/XC406118-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/FXHETGXRIK/wave/XC406118-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FXHETGXRIK/wave/XC406118-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FXHETGXRIK/wave/XC406118-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:05,17:00,2018-02-20,2018-03-16,[],,yes,yes,no,,,no,,,44100
77,77,369212,Francolinus,pondicerianus,,birds,Grey Francolin,Peter Boesman,India,"Mysore-Ooty Rooad, The Nilgiris County, Tamil Nadu",11.5515,76.6501,,song,,,field recording,//xeno-canto.org/369212,https://xeno-canto.org/369212/download,XC369212-LS105125 Grey Francolin song B Prinia song C.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC369212-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC369212-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC369212-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC369212-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC369212-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC369212-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC369212-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:15,7:15,2017-04-18,2017-05-12,[],,unknown,unknown,unknown,,,no,,,44100
78,78,334051,Francolinus,pondicerianus,,birds,Grey Francolin,Lakshmikant Rajaram Neve,India,"Bhusawal, Jalgaon, Maharashtra",21.0413,75.8529,220,"call, song",,,field recording,//xeno-canto.org/334051,https://xeno-canto.org/334051/download,XC334051-Gfracolin_20160910071857.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KSMHSRGBHW/ffts/XC334051-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KSMHSRGBHW/ffts/XC334051-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KSMHSRGBHW/ffts/XC334051-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KSMHSRGBHW/ffts/XC334051-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KSMHSRGBHW/wave/XC334051-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KSMHSRGBHW/wave/XC334051-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KSMHSRGBHW/wave/XC334051-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:01,07:18:57,2016-09-10,2016-09-10,[],,yes,yes,no,,,no,,,44100
79,79,332453,Francolinus,pondicerianus,,birds,Grey Francolin,Abhijeet Avate,India,"Mayureshwar Sanctuary ,Pune, Maharashtra",18.3474,74.3677,650,call,,,field recording,//xeno-canto.org/332453,https://xeno-canto.org/332453/download,XC332453-grey francolin mayureswar 22 jan 2016 (1).mp3,"{'small': '//xeno-canto.org/sounds/uploaded/NZDXFSPDPQ/ffts/XC332453-small.png', 'med': '//xeno-canto.org/sounds/uploaded/NZDXFSPDPQ/ffts/XC332453-med.png', 'large': '//xeno-canto.org/sounds/uploaded/NZDXFSPDPQ/ffts/XC332453-large.png', 'full': '//xeno-canto.org/sounds/uploaded/NZDXFSPDPQ/ffts/XC332453-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/NZDXFSPDPQ/wave/XC332453-small.png', 'med': '//xeno-canto.org/sounds/uploaded/NZDXFSPDPQ/wave/XC332453-med.png', 'large': '//xeno-canto.org/sounds/uploaded/NZDXFSPDPQ/wave/XC332453-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,12:00,2016-01-22,2016-08-27,[],,yes,yes,no,,,no,,,16000
