,Audio,Sr,Names,Species
18,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,12505.wav,coromandelica
19,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,12520.wav,coromandelica
20,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,13098.wav,coromandelica
21,"[-1.3818677e-06  2.5344873e-06  6.9036823e-06 ...  4.7185175e-02
  4.0957466e-02  2.8621126e-04]",22050,13326.wav,coromandelica
22,[0. 0. 0. ... 0. 0. 0.],22050,13328.wav,coromandelica
23,"[-0.00495038 -0.00338746  0.01184362 ... -0.00896657  0.00422832
  0.00752231]",22050,13395.wav,coromandelica
24,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,13507.wav,coromandelica
25,"[-1.3818677e-06  2.5344873e-06  6.9036823e-06 ...  4.7185175e-02
  4.0957466e-02  2.8621126e-04]",22050,13700.wav,coromandelica
26,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,13775.wav,coromandelica
27,"[ 2.1817250e-05  4.7958441e-05 -5.9572485e-06 ... -5.6864519e-04
 -1.5779844e-03 -1.7996599e-04]",22050,13986.wav,coromandelica
28,"[ 0.          0.          0.         ...  0.00019783 -0.00025196
 -0.00029593]",22050,1421.wav,coromandelica
29,"[-0.13392764 -0.21862757 -0.21494469 ...  0.03154474  0.03142657
  0.02158418]",22050,14245.wav,coromandelica
30,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,14501.wav,coromandelica
31,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,14896.wav,coromandelica
32,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8588697e-08
 -1.8011509e-08  0.0000000e+00]",22050,15086.wav,coromandelica
33,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,1542.wav,coromandelica
34,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,15836.wav,coromandelica
35,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,16044.wav,coromandelica
36,"[ 0.          0.          0.         ...  0.00019783 -0.00025196
 -0.00029593]",22050,16315.wav,coromandelica
37,"[-0.00495038 -0.00338746  0.01184362 ... -0.00896657  0.00422832
  0.00752231]",22050,16743.wav,coromandelica
38,"[-1.8917490e-10 -3.2014214e-10 -2.3283064e-10 ... -1.4615551e-05
 -6.4319465e-07  6.3842162e-07]",22050,16883.wav,coromandelica
39,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,16989.wav,coromandelica
40,"[-1.3818677e-06  2.5344873e-06  6.9036823e-06 ...  4.7185175e-02
  4.0957466e-02  2.8621126e-04]",22050,17071.wav,coromandelica
41,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,17714.wav,coromandelica
42,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,17761.wav,coromandelica
43,"[-1.1084467e-12  2.7284841e-12 -2.2737368e-13 ... -3.8458733e-05
 -4.1935942e-05  2.3717526e-05]",22050,17873.wav,coromandelica
44,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8588697e-08
 -1.8011509e-08  0.0000000e+00]",22050,18181.wav,coromandelica
45,"[ 2.1817250e-05  4.7958441e-05 -5.9572485e-06 ... -5.6864519e-04
 -1.5779844e-03 -1.7996599e-04]",22050,18201.wav,coromandelica
46,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,18267.wav,coromandelica
47,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,18279.wav,coromandelica
48,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,18342.wav,coromandelica
49,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,18413.wav,coromandelica
50,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,18655.wav,coromandelica
51,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,18692.wav,coromandelica
52,"[-1.8917490e-10 -3.2014214e-10 -2.3283064e-10 ... -1.4615551e-05
 -6.4319465e-07  6.3842162e-07]",22050,18866.wav,coromandelica
53,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,1919.wav,coromandelica
54,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,19332.wav,coromandelica
55,"[-0.0703444  -0.11467858 -0.10436044 ...  0.0077689   0.00681373
  0.00755962]",22050,1985.wav,coromandelica
56,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,20342.wav,coromandelica
57,"[-1.1084467e-12  2.7284841e-12 -2.2737368e-13 ... -3.8458733e-05
 -4.1935942e-05  2.3717526e-05]",22050,20503.wav,coromandelica
58,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,20892.wav,coromandelica
59,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,21034.wav,coromandelica
60,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,21043.wav,coromandelica
61,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,2118.wav,coromandelica
62,"[-1.3818677e-06  2.5344873e-06  6.9036823e-06 ...  4.7185175e-02
  4.0957466e-02  2.8621126e-04]",22050,21518.wav,coromandelica
63,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,21752.wav,coromandelica
64,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,22100.wav,coromandelica
65,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,22155.wav,coromandelica
66,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,22478.wav,coromandelica
67,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,22534.wav,coromandelica
68,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,22767.wav,coromandelica
69,[0. 0. 0. ... 0. 0. 0.],22050,2300.wav,coromandelica
70,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,23013.wav,coromandelica
71,"[ 0.          0.          0.         ...  0.00019783 -0.00025196
 -0.00029593]",22050,23105.wav,coromandelica
72,"[-1.8917490e-10 -3.2014214e-10 -2.3283064e-10 ... -1.4615551e-05
 -6.4319465e-07  6.3842162e-07]",22050,2315.wav,coromandelica
73,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,23155.wav,coromandelica
74,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,23251.wav,coromandelica
75,"[-1.8917490e-10 -3.2014214e-10 -2.3283064e-10 ... -1.4615551e-05
 -6.4319465e-07  6.3842162e-07]",22050,23352.wav,coromandelica
76,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,23507.wav,coromandelica
77,"[-0.00495038 -0.00338746  0.01184362 ... -0.00896657  0.00422832
  0.00752231]",22050,23666.wav,coromandelica
78,"[-1.8917490e-10 -3.2014214e-10 -2.3283064e-10 ... -1.4615551e-05
 -6.4319465e-07  6.3842162e-07]",22050,23675.wav,coromandelica
79,"[ 2.1817250e-05  4.7958441e-05 -5.9572485e-06 ... -5.6864519e-04
 -1.5779844e-03 -1.7996599e-04]",22050,23788.wav,coromandelica
80,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8588697e-08
 -1.8011509e-08  0.0000000e+00]",22050,24412.wav,coromandelica
81,"[-0.13392764 -0.21862757 -0.21494469 ...  0.03154474  0.03142657
  0.02158418]",22050,24426.wav,coromandelica
82,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,24443.wav,coromandelica
83,"[ 2.1817250e-05  4.7958441e-05 -5.9572485e-06 ... -5.6864519e-04
 -1.5779844e-03 -1.7996599e-04]",22050,24474.wav,coromandelica
84,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,25135.wav,coromandelica
85,"[-0.00495038 -0.00338746  0.01184362 ... -0.00896657  0.00422832
  0.00752231]",22050,25271.wav,coromandelica
86,"[-0.0703444  -0.11467858 -0.10436044 ...  0.0077689   0.00681373
  0.00755962]",22050,25298.wav,coromandelica
87,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,2551.wav,coromandelica
88,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,25637.wav,coromandelica
89,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8588697e-08
 -1.8011509e-08  0.0000000e+00]",22050,26059.wav,coromandelica
90,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,26629.wav,coromandelica
91,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,26851.wav,coromandelica
92,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,26856.wav,coromandelica
93,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,26905.wav,coromandelica
94,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,26910.wav,coromandelica
95,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,27221.wav,coromandelica
96,"[-1.9037514e-05 -1.5864149e-05  1.6951840e-04 ... -1.6852359e-03
 -6.5346621e-04  1.7772865e-04]",22050,27366.wav,coromandelica
97,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,27706.wav,coromandelica
98,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,2772.wav,coromandelica
99,"[-1.8917490e-10 -3.2014214e-10 -2.3283064e-10 ... -1.4615551e-05
 -6.4319465e-07  6.3842162e-07]",22050,27807.wav,coromandelica
100,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,27827.wav,coromandelica
101,"[-0.0703444  -0.11467858 -0.10436044 ...  0.0077689   0.00681373
  0.00755962]",22050,28278.wav,coromandelica
102,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,28427.wav,coromandelica
103,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,28482.wav,coromandelica
104,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,28576.wav,coromandelica
105,"[-0.00495038 -0.00338746  0.01184362 ... -0.00896657  0.00422832
  0.00752231]",22050,28729.wav,coromandelica
106,"[-1.3818677e-06  2.5344873e-06  6.9036823e-06 ...  4.7185175e-02
  4.0957466e-02  2.8621126e-04]",22050,29143.wav,coromandelica
107,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,29186.wav,coromandelica
108,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,29823.wav,coromandelica
109,"[-1.3818677e-06  2.5344873e-06  6.9036823e-06 ...  4.7185175e-02
  4.0957466e-02  2.8621126e-04]",22050,29900.wav,coromandelica
110,[0. 0. 0. ... 0. 0. 0.],22050,29939.wav,coromandelica
111,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,30033.wav,coromandelica
112,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,30703.wav,coromandelica
113,"[-1.1084467e-12  2.7284841e-12 -2.2737368e-13 ... -3.8458733e-05
 -4.1935942e-05  2.3717526e-05]",22050,30742.wav,coromandelica
114,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,30785.wav,coromandelica
115,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,30919.wav,coromandelica
116,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,31101.wav,coromandelica
117,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,31106.wav,coromandelica
118,"[-1.8917490e-10 -3.2014214e-10 -2.3283064e-10 ... -1.4615551e-05
 -6.4319465e-07  6.3842162e-07]",22050,31152.wav,coromandelica
119,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,32013.wav,coromandelica
120,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,32072.wav,coromandelica
121,"[ 0.          0.          0.         ...  0.00019783 -0.00025196
 -0.00029593]",22050,32095.wav,coromandelica
122,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8588697e-08
 -1.8011509e-08  0.0000000e+00]",22050,32331.wav,coromandelica
123,"[-1.8917490e-10 -3.2014214e-10 -2.3283064e-10 ... -1.4615551e-05
 -6.4319465e-07  6.3842162e-07]",22050,33000.wav,coromandelica
124,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,33011.wav,coromandelica
125,"[-0.13392764 -0.21862757 -0.21494469 ...  0.03154474  0.03142657
  0.02158418]",22050,33915.wav,coromandelica
126,"[ 0.          0.          0.         ...  0.00019783 -0.00025196
 -0.00029593]",22050,34340.wav,coromandelica
127,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,34421.wav,coromandelica
128,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,34625.wav,coromandelica
129,"[-0.13392764 -0.21862757 -0.21494469 ...  0.03154474  0.03142657
  0.02158418]",22050,34670.wav,coromandelica
130,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,35338.wav,coromandelica
131,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,35645.wav,coromandelica
132,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,35855.wav,coromandelica
133,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,35938.wav,coromandelica
134,"[-0.00495038 -0.00338746  0.01184362 ... -0.00896657  0.00422832
  0.00752231]",22050,36156.wav,coromandelica
135,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,36173.wav,coromandelica
136,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,36184.wav,coromandelica
137,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,36336.wav,coromandelica
138,"[-0.0703444  -0.11467858 -0.10436044 ...  0.0077689   0.00681373
  0.00755962]",22050,36632.wav,coromandelica
139,[0. 0. 0. ... 0. 0. 0.],22050,37185.wav,coromandelica
140,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,3724.wav,coromandelica
141,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,37243.wav,coromandelica
142,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,37806.wav,coromandelica
143,"[-1.9037514e-05 -1.5864149e-05  1.6951840e-04 ... -1.6852359e-03
 -6.5346621e-04  1.7772865e-04]",22050,37963.wav,coromandelica
144,"[-0.13392764 -0.21862757 -0.21494469 ...  0.03154474  0.03142657
  0.02158418]",22050,38451.wav,coromandelica
145,"[-1.1084467e-12  2.7284841e-12 -2.2737368e-13 ... -3.8458733e-05
 -4.1935942e-05  2.3717526e-05]",22050,38581.wav,coromandelica
146,"[-1.9037514e-05 -1.5864149e-05  1.6951840e-04 ... -1.6852359e-03
 -6.5346621e-04  1.7772865e-04]",22050,38590.wav,coromandelica
147,"[ 2.1817250e-05  4.7958441e-05 -5.9572485e-06 ... -5.6864519e-04
 -1.5779844e-03 -1.7996599e-04]",22050,39350.wav,coromandelica
148,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,39556.wav,coromandelica
149,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8588697e-08
 -1.8011509e-08  0.0000000e+00]",22050,3960.wav,coromandelica
150,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,39621.wav,coromandelica
151,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,39651.wav,coromandelica
152,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,39909.wav,coromandelica
153,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,40076.wav,coromandelica
154,"[-1.1084467e-12  2.7284841e-12 -2.2737368e-13 ... -3.8458733e-05
 -4.1935942e-05  2.3717526e-05]",22050,40206.wav,coromandelica
155,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,40274.wav,coromandelica
156,"[-1.9037514e-05 -1.5864149e-05  1.6951840e-04 ... -1.6852359e-03
 -6.5346621e-04  1.7772865e-04]",22050,40484.wav,coromandelica
157,"[-1.1084467e-12  2.7284841e-12 -2.2737368e-13 ... -3.8458733e-05
 -4.1935942e-05  2.3717526e-05]",22050,40583.wav,coromandelica
158,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,41180.wav,coromandelica
159,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8588697e-08
 -1.8011509e-08  0.0000000e+00]",22050,41476.wav,coromandelica
160,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,41585.wav,coromandelica
161,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,41726.wav,coromandelica
162,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,4175.wav,coromandelica
163,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,42223.wav,coromandelica
164,"[ 2.1817250e-05  4.7958441e-05 -5.9572485e-06 ... -5.6864519e-04
 -1.5779844e-03 -1.7996599e-04]",22050,42428.wav,coromandelica
165,"[-1.9037514e-05 -1.5864149e-05  1.6951840e-04 ... -1.6852359e-03
 -6.5346621e-04  1.7772865e-04]",22050,42603.wav,coromandelica
166,"[-1.1084467e-12  2.7284841e-12 -2.2737368e-13 ... -3.8458733e-05
 -4.1935942e-05  2.3717526e-05]",22050,42614.wav,coromandelica
167,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,42663.wav,coromandelica
168,"[-1.3818677e-06  2.5344873e-06  6.9036823e-06 ...  4.7185175e-02
  4.0957466e-02  2.8621126e-04]",22050,42753.wav,coromandelica
169,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,42858.wav,coromandelica
170,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.6037984e-06
 -8.1865350e-05  1.5603378e-05]",22050,42884.wav,coromandelica
171,"[ 8.73114914e-11  2.91038305e-10  1.45519152e-10 ...  3.46163870e-05
 -1.20497716e-04  7.93036306e-05]",22050,43053.wav,coromandelica
172,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,4317.wav,coromandelica
173,"[-0.0703444  -0.11467858 -0.10436044 ...  0.0077689   0.00681373
  0.00755962]",22050,43581.wav,coromandelica
174,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,43634.wav,coromandelica
175,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,43655.wav,coromandelica
176,"[-0.0703444  -0.11467858 -0.10436044 ...  0.0077689   0.00681373
  0.00755962]",22050,43714.wav,coromandelica
177,"[ 0.          0.          0.         ...  0.00019783 -0.00025196
 -0.00029593]",22050,43798.wav,coromandelica
178,"[-0.13392764 -0.21862757 -0.21494469 ...  0.03154474  0.03142657
  0.02158418]",22050,43815.wav,coromandelica
179,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,43889.wav,coromandelica
180,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,4392.wav,coromandelica
181,"[-0.0703444  -0.11467858 -0.10436044 ...  0.0077689   0.00681373
  0.00755962]",22050,44202.wav,coromandelica
182,"[-1.9037514e-05 -1.5864149e-05  1.6951840e-04 ... -1.6852359e-03
 -6.5346621e-04  1.7772865e-04]",22050,44719.wav,coromandelica
183,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,44767.wav,coromandelica
184,"[ 0.0000000e+00  1.7462298e-10 -2.3283064e-10 ... -6.1209556e-03
 -6.8176305e-03 -5.9626652e-03]",22050,44924.wav,coromandelica
185,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,45152.wav,coromandelica
186,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,45853.wav,coromandelica
187,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,46065.wav,coromandelica
188,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,46139.wav,coromandelica
189,[0. 0. 0. ... 0. 0. 0.],22050,4650.wav,coromandelica
190,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,4684.wav,coromandelica
191,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,46936.wav,coromandelica
192,"[ 0.          0.          0.         ...  0.00019783 -0.00025196
 -0.00029593]",22050,47346.wav,coromandelica
193,"[ 0.          0.          0.         ...  0.001007    0.00058441
 -0.00027581]",22050,47446.wav,coromandelica
